seed,variant,model,n_complexes,n_reactions,n_metabolites,balanced,trivially_balanced,trivially_concordant,concordant_pairs_total,kinetic_modules,singleton_modules,multi_complex_modules,largest_module_size,acr_metabolites
44,random_25,Saccharomycopsis_malanga,22742.0,35034.0,12366.0,6148.0,5574.0,4260.0,59853.0,17845.0,16866.0,979.0,3916.0,204.0
44,random_25,Sporopachydermia_quercuum,19937.0,29866.0,10930.0,5286.0,4717.0,3866.0,55882.0,15752.0,14821.0,931.0,3252.0,164.0
44,random_25,Tortispora_caseinolytica,15445.0,23059.0,8462.0,4036.0,3579.0,2991.0,48785.0,12370.0,11557.0,813.0,2256.0,130.0
44,random_25,Torulaspora_delbrueckii,18856.0,28503.0,10345.0,5095.0,4534.0,3653.0,55604.0,14919.0,13944.0,975.0,2963.0,169.0
44,random_25,Wickerhamomyces_ciferrii,23499.0,34935.0,12777.0,6412.0,5688.0,4452.0,63050.0,18590.0,17284.0,1306.0,3591.0,201.0
44,random_25,Yarrowia_deformans,21355.0,31654.0,11511.0,5559.0,4945.0,4158.0,63569.0,17135.0,15816.0,1319.0,2902.0,145.0
44,random_50,Alloascoidea_hylecoeti,35452.0,55191.0,17784.0,9742.0,8096.0,5759.0,52036.0,28195.0,25658.0,2537.0,4705.0,231.0
44,random_50,Debaryomyces_hansenii,26939.0,42622.0,13690.0,7339.0,6049.0,4331.0,40180.0,22161.0,21017.0,1144.0,3636.0,195.0
44,random_50,Hanseniaspora_vinae,21223.0,33507.0,10867.0,5696.0,4736.0,3420.0,40794.0,16864.0,15387.0,1477.0,2873.0,200.0
44,random_50,Komagataella_pastoris,20130.0,31294.0,10417.0,5451.0,4439.0,3270.0,43176.0,16031.0,14641.0,1390.0,2689.0,157.0
44,random_50,Lipomyces_starkeyi,24731.0,38307.0,12752.0,6643.0,5446.0,4063.0,43268.0,19686.0,18028.0,1658.0,3384.0,193.0
44,random_50,Neurospora_crassa,26996.0,40718.0,13804.0,7076.0,5727.0,4657.0,44247.0,21575.0,19646.0,1929.0,3470.0,185.0
44,random_50,Pachysolen_tannophilus,24587.0,38382.0,12667.0,6624.0,5473.0,4058.0,39176.0,19492.0,17845.0,1647.0,3445.0,180.0
44,random_50,Saccharomycopsis_malanga,26746.0,43058.0,13640.0,7221.0,6028.0,4336.0,45734.0,21151.0,19490.0,1661.0,3920.0,206.0
44,random_50,Sporopachydermia_quercuum,23428.0,36446.0,12066.0,6245.0,5123.0,3894.0,37248.0,18636.0,17104.0,1532.0,3252.0,164.0
44,random_50,Tortispora_caseinolytica,17616.0,27243.0,9176.0,4684.0,3852.0,2976.0,35961.0,14167.0,12985.0,1182.0,2259.0,132.0
44,random_50,Torulaspora_delbrueckii,21650.0,33985.0,11247.0,5930.0,4886.0,3653.0,43611.0,17199.0,15711.0,1488.0,2963.0,169.0
44,random_50,Wickerhamomyces_ciferrii,27449.0,42757.0,14036.0,7514.0,6165.0,4481.0,46322.0,21829.0,19823.0,2006.0,3591.0,201.0
44,random_50,Yarrowia_deformans,24973.0,38380.0,12703.0,6652.0,5413.0,4177.0,53180.0,20038.0,18029.0,2009.0,2906.0,147.0
44,random_75,Alloascoidea_hylecoeti,40545.0,65717.0,19395.0,11264.0,8753.0,5841.0,31725.0,32273.0,28753.0,3520.0,4716.0,237.0
44,random_75,Debaryomyces_hansenii,30444.0,49974.0,14759.0,8135.0,6385.0,4414.0,25579.0,25256.0,23702.0,1554.0,3636.0,195.0
44,random_75,Hanseniaspora_vinae,23870.0,38987.0,11711.0,6451.0,5067.0,3457.0,32385.0,19056.0,17124.0,1932.0,2873.0,200.0
44,random_75,Komagataella_pastoris,22795.0,36600.0,11283.0,6252.0,4771.0,3280.0,33850.0,18216.0,16350.0,1866.0,2689.0,157.0
44,random_75,Lipomyces_starkeyi,27602.0,44641.0,13637.0,7442.0,5790.0,4096.0,34263.0,22044.0,19893.0,2151.0,3388.0,195.0
44,random_75,Neurospora_crassa,31452.0,49324.0,15239.0,8286.0,6235.0,4715.0,29796.0,25214.0,22474.0,2740.0,3470.0,185.0
44,random_75,Pachysolen_tannophilus,27980.0,45150.0,13755.0,7565.0,5867.0,4086.0,25305.0,22278.0,20036.0,2242.0,3445.0,180.0
44,random_75,Saccharomycopsis_malanga,30243.0,50512.0,14717.0,8093.0,6391.0,4394.0,39693.0,24065.0,21836.0,2229.0,3920.0,206.0
44,random_75,Sporopachydermia_quercuum,26835.0,43330.0,13138.0,7128.0,5494.0,3916.0,29353.0,21425.0,19298.0,2127.0,3261.0,169.0
44,random_75,Tortispora_caseinolytica,20087.0,32277.0,9955.0,5343.0,4124.0,3005.0,26798.0,16201.0,14587.0,1614.0,2259.0,132.0
44,random_75,Torulaspora_delbrueckii,24734.0,40005.0,12250.0,6830.0,5268.0,3671.0,28477.0,19698.0,17636.0,2062.0,2968.0,172.0
44,random_75,Wickerhamomyces_ciferrii,30525.0,49339.0,14993.0,8378.0,6529.0,4535.0,34250.0,24389.0,21874.0,2515.0,3591.0,201.0
44,random_75,Yarrowia_deformans,27988.0,44344.0,13675.0,7561.0,5797.0,4166.0,34392.0,22477.0,19911.0,2566.0,2910.0,149.0
45,random_0,Alloascoidea_hylecoeti,25301.0,36389.0,14489.0,6914.0,6891.0,5512.0,76330.0,19808.0,19005.0,803.0,4692.0,227.0
45,random_0,Debaryomyces_hansenii,18717.0,27280.0,11029.0,5130.0,5111.0,4182.0,73864.0,15069.0,15049.0,20.0,3630.0,191.0
45,random_0,Hanseniaspora_vinae,14983.0,21830.0,8871.0,4061.0,4046.0,3380.0,68181.0,11743.0,11353.0,390.0,2851.0,179.0
45,random_0,Komagataella_pastoris,14030.0,20282.0,8432.0,3768.0,3744.0,3273.0,69988.0,11049.0,10753.0,296.0,2686.0,153.0
45,random_0,Lipomyces_starkeyi,17268.0,24889.0,10318.0,4651.0,4625.0,4020.0,67640.0,13540.0,13182.0,358.0,3371.0,189.0
45,random_0,Neurospora_crassa,18558.0,26120.0,11013.0,4803.0,4781.0,4523.0,75221.0,14670.0,14238.0,432.0,3457.0,179.0
45,random_0,Pachysolen_tannophilus,17249.0,24983.0,10274.0,4656.0,4636.0,3955.0,64541.0,13428.0,13049.0,379.0,3441.0,179.0
45,random_0,Saccharomycopsis_malanga,19021.0,27867.0,11187.0,5181.0,5162.0,4238.0,73094.0,14697.0,14283.0,414.0,3911.0,202.0
45,random_0,Sporopachydermia_quercuum,16355.0,23512.0,9768.0,4352.0,4331.0,3872.0,70637.0,12772.0,12440.0,332.0,3252.0,164.0
45,random_0,Tortispora_caseinolytica,12333.0,17761.0,7457.0,3277.0,3256.0,3023.0,67949.0,9797.0,9511.0,286.0,2252.0,128.0
45,random_0,Torulaspora_delbrueckii,15493.0,22424.0,9266.0,4233.0,4174.0,3621.0,65515.0,12095.0,11661.0,434.0,2965.0,167.0
45,random_0,Wickerhamomyces_ciferrii,19259.0,27560.0,11368.0,5196.0,5176.0,4428.0,73398.0,15142.0,14605.0,537.0,3581.0,199.0
45,random_0,Yarrowia_deformans,17143.0,24424.0,10144.0,4517.0,4502.0,4148.0,77539.0,13680.0,13121.0,559.0,2905.0,146.0
45,random_100,Alloascoidea_hylecoeti,45473.0,76117.0,20916.0,12533.0,9307.0,5973.0,21953.0,36365.0,32011.0,4354.0,4712.0,237.0
45,random_100,Debaryomyces_hansenii,33620.0,56910.0,15748.0,9058.0,6801.0,4453.0,18437.0,27959.0,25940.0,2019.0,3638.0,197.0
45,random_100,Hanseniaspora_vinae,26559.0,44682.0,12556.0,7209.0,5385.0,3496.0,16508.0,21293.0,18907.0,2386.0,2860.0,184.0
45,random_100,Komagataella_pastoris,25405.0,42136.0,12086.0,6835.0,5028.0,3311.0,14957.0,20415.0,18147.0,2268.0,2693.0,157.0
45,random_100,Lipomyces_starkeyi,31957.0,53033.0,15013.0,8498.0,6230.0,4138.0,25391.0,25587.0,22633.0,2954.0,3388.0,195.0
45,random_100,Neurospora_crassa,35236.0,57230.0,16432.0,9303.0,6674.0,4778.0,25520.0,28315.0,24906.0,3409.0,3474.0,185.0
45,random_100,Pachysolen_tannophilus,31400.0,52415.0,14806.0,8436.0,6244.0,4153.0,23023.0,25111.0,22297.0,2814.0,3446.0,182.0
45,random_100,Saccharomycopsis_malanga,34696.0,59861.0,16088.0,9161.0,6850.0,4465.0,19178.0,27776.0,24809.0,2967.0,3918.0,206.0
45,random_100,Sporopachydermia_quercuum,29936.0,49724.0,14133.0,8001.0,5866.0,3976.0,21425.0,23957.0,21270.0,2687.0,3262.0,169.0
45,random_100,Tortispora_caseinolytica,22536.0,37403.0,10718.0,5953.0,4380.0,3023.0,20060.0,18231.0,16203.0,2028.0,2259.0,132.0
45,random_100,Torulaspora_delbrueckii,28063.0,46888.0,13293.0,7682.0,5636.0,3715.0,22391.0,22389.0,19718.0,2671.0,2974.0,172.0
45,random_100,Wickerhamomyces_ciferrii,34979.0,58016.0,16406.0,9521.0,7022.0,4640.0,24108.0,28049.0,24744.0,3305.0,3588.0,203.0
45,random_100,Yarrowia_deformans,31538.0,51646.0,14791.0,8569.0,6234.0,4202.0,27304.0,25356.0,22128.0,3228.0,2913.0,150.0
45,random_25,Alloascoidea_hylecoeti,30196.0,45091.0,16117.0,8516.0,7571.0,5563.0,65070.0,23779.0,22056.0,1723.0,4692.0,227.0
45,random_25,Debaryomyces_hansenii,23212.0,35154.0,12504.0,6377.0,5624.0,4251.0,59738.0,18915.0,18250.0,665.0,3634.0,195.0
45,random_25,Hanseniaspora_vinae,18119.0,27392.0,9893.0,4869.0,4380.0,3391.0,51063.0,14327.0,13394.0,933.0,2856.0,182.0
45,random_25,Komagataella_pastoris,17014.0,25444.0,9416.0,4594.0,4094.0,3247.0,53175.0,13494.0,12673.0,821.0,2689.0,155.0
45,random_25,Lipomyces_starkeyi,20799.0,31315.0,11458.0,5569.0,5013.0,4039.0,59218.0,16466.0,15525.0,941.0,3381.0,193.0
45,random_25,Neurospora_crassa,23334.0,34386.0,12578.0,6055.0,5297.0,4595.0,57659.0,18645.0,17412.0,1233.0,3457.0,179.0
45,random_25,Pachysolen_tannophilus,21081.0,31817.0,11522.0,5682.0,5057.0,4018.0,54817.0,16627.0,15619.0,1008.0,3444.0,181.0
45,random_25,Saccharomycopsis_malanga,23251.0,35573.0,12548.0,6254.0,5606.0,4294.0,57927.0,18235.0,17135.0,1100.0,3914.0,204.0
45,random_25,Sporopachydermia_quercuum,19852.0,29448.0,10940.0,5334.0,4749.0,3875.0,61952.0,15661.0,14722.0,939.0,3253.0,164.0
45,random_25,Tortispora_caseinolytica,15184.0,22631.0,8400.0,4034.0,3573.0,3031.0,49695.0,12184.0,11440.0,744.0,2255.0,130.0
45,random_25,Torulaspora_delbrueckii,18871.0,28624.0,10362.0,5162.0,4556.0,3664.0,55845.0,14878.0,13850.0,1028.0,2965.0,167.0
45,random_25,Wickerhamomyces_ciferrii,24040.0,35714.0,12955.0,6524.0,5727.0,4490.0,60872.0,19045.0,17632.0,1413.0,3581.0,199.0
45,random_25,Yarrowia_deformans,21155.0,31108.0,11466.0,5570.0,4955.0,4123.0,55685.0,17009.0,15774.0,1235.0,2905.0,146.0
45,random_50,Alloascoidea_hylecoeti,36248.0,56469.0,18073.0,10209.0,8306.0,5693.0,44422.0,28694.0,25842.0,2852.0,4692.0,227.0
45,random_50,Debaryomyces_hansenii,26614.0,42082.0,13574.0,7251.0,6011.0,4294.0,37399.0,21868.0,20766.0,1102.0,3638.0,197.0
45,random_50,Hanseniaspora_vinae,21015.0,33156.0,10803.0,5630.0,4691.0,3441.0,42266.0,16722.0,15294.0,1428.0,2856.0,182.0
45,random_50,Komagataella_pastoris,19958.0,30972.0,10360.0,5351.0,4408.0,3261.0,41393.0,15893.0,14542.0,1351.0,2693.0,157.0
45,random_50,Lipomyces_starkeyi,24380.0,38161.0,12624.0,6609.0,5435.0,4086.0,45582.0,19385.0,17786.0,1599.0,3381.0,193.0
45,random_50,Neurospora_crassa,27556.0,42292.0,13951.0,7207.0,5786.0,4665.0,45949.0,22041.0,20019.0,2022.0,3473.0,185.0
45,random_50,Pachysolen_tannophilus,24487.0,38291.0,12618.0,6588.0,5440.0,4038.0,41245.0,19431.0,17827.0,1604.0,3444.0,181.0
45,random_50,Saccharomycopsis_malanga,27108.0,43497.0,13759.0,7252.0,6037.0,4360.0,45574.0,21489.0,19790.0,1699.0,3914.0,204.0
45,random_50,Sporopachydermia_quercuum,23448.0,36532.0,12089.0,6327.0,5157.0,3912.0,40263.0,18584.0,16992.0,1592.0,3258.0,167.0
45,random_50,Tortispora_caseinolytica,17522.0,27183.0,9151.0,4687.0,3849.0,3004.0,39774.0,14103.0,12943.0,1160.0,2255.0,130.0
45,random_50,Torulaspora_delbrueckii,22004.0,34592.0,11358.0,5909.0,4870.0,3645.0,41588.0,17499.0,15959.0,1540.0,2965.0,167.0
45,random_50,Wickerhamomyces_ciferrii,28223.0,43808.0,14281.0,7679.0,6223.0,4534.0,49837.0,22451.0,20281.0,2170.0,3584.0,201.0
45,random_50,Yarrowia_deformans,24809.0,38164.0,12634.0,6593.0,5376.0,4143.0,47810.0,19920.0,17951.0,1969.0,2908.0,148.0
45,random_75,Alloascoidea_hylecoeti,40789.0,65727.0,19481.0,11350.0,8800.0,5810.0,36276.0,32476.0,28868.0,3608.0,4692.0,227.0
45,random_75,Debaryomyces_hansenii,29899.0,49212.0,14586.0,8133.0,6403.0,4319.0,32659.0,24712.0,23167.0,1545.0,3638.0,197.0
45,random_75,Hanseniaspora_vinae,23966.0,38988.0,11761.0,6541.0,5087.0,3447.0,26877.0,19107.0,17129.0,1978.0,2860.0,184.0
45,random_75,Komagataella_pastoris,22682.0,36368.0,11237.0,6095.0,4719.0,3322.0,28471.0,18160.0,16355.0,1805.0,2693.0,157.0
45,random_75,Lipomyces_starkeyi,27972.0,45229.0,13759.0,7508.0,5822.0,4110.0,35980.0,22358.0,20159.0,2199.0,3385.0,195.0
45,random_75,Neurospora_crassa,31086.0,49210.0,15102.0,8221.0,6215.0,4709.0,32045.0,24952.0,22321.0,2631.0,3473.0,185.0
45,random_75,Pachysolen_tannophilus,27970.0,45285.0,13712.0,7476.0,5831.0,4069.0,32931.0,22307.0,20102.0,2205.0,3444.0,181.0
45,random_75,Saccharomycopsis_malanga,30932.0,51787.0,14925.0,8247.0,6469.0,4391.0,29530.0,24666.0,22338.0,2328.0,3914.0,204.0
45,random_75,Sporopachydermia_quercuum,26484.0,42862.0,13038.0,7125.0,5500.0,3934.0,31702.0,21096.0,18994.0,2102.0,3262.0,169.0
45,random_75,Tortispora_caseinolytica,19948.0,32001.0,9915.0,5293.0,4109.0,2981.0,26613.0,16114.0,14552.0,1562.0,2259.0,132.0
45,random_75,Torulaspora_delbrueckii,25305.0,41002.0,12425.0,6883.0,5300.0,3682.0,24681.0,20157.0,18000.0,2157.0,2974.0,172.0
45,random_75,Wickerhamomyces_ciferrii,31514.0,50750.0,15312.0,8549.0,6609.0,4582.0,33578.0,25204.0,22496.0,2708.0,3584.0,201.0
45,random_75,Yarrowia_deformans,28438.0,45292.0,13794.0,7590.0,5806.0,4195.0,34214.0,22858.0,20223.0,2635.0,2913.0,150.0
46,random_0,Alloascoidea_hylecoeti,25301.0,36389.0,14489.0,6914.0,6891.0,5512.0,76204.0,19808.0,19005.0,803.0,4692.0,227.0
46,random_0,Debaryomyces_hansenii,18717.0,27280.0,11029.0,5130.0,5111.0,4182.0,73900.0,15069.0,15049.0,20.0,3630.0,191.0
46,random_0,Hanseniaspora_vinae,14981.0,21828.0,8869.0,4059.0,4044.0,3380.0,67084.0,11742.0,11353.0,389.0,2851.0,179.0
46,random_0,Komagataella_pastoris,14014.0,20260.0,8418.0,3752.0,3731.0,3270.0,70088.0,11041.0,10749.0,292.0,2682.0,153.0
46,random_0,Lipomyces_starkeyi,17282.0,24904.0,10326.0,4665.0,4627.0,4024.0,70151.0,13546.0,13184.0,362.0,3375.0,190.0
46,random_0,Neurospora_crassa,18558.0,26120.0,11013.0,4803.0,4781.0,4523.0,75455.0,14670.0,14238.0,432.0,3457.0,179.0
46,random_0,Pachysolen_tannophilus,17243.0,24975.0,10270.0,4650.0,4634.0,3952.0,64384.0,13426.0,13049.0,377.0,3441.0,179.0
46,random_0,Saccharomycopsis_malanga,19029.0,27876.0,11192.0,5189.0,5163.0,4243.0,73389.0,14700.0,14284.0,416.0,3913.0,202.0
46,random_0,Sporopachydermia_quercuum,16353.0,23510.0,9766.0,4350.0,4329.0,3872.0,70693.0,12771.0,12440.0,331.0,3252.0,164.0
46,random_0,Tortispora_caseinolytica,12347.0,17779.0,7470.0,3291.0,3266.0,3027.0,67998.0,9802.0,9511.0,291.0,2252.0,128.0
46,random_0,Torulaspora_delbrueckii,15495.0,22432.0,9269.0,4235.0,4179.0,3623.0,65978.0,12095.0,11657.0,438.0,2961.0,166.0
46,random_0,Wickerhamomyces_ciferrii,19249.0,27549.0,11360.0,5186.0,5170.0,4426.0,73843.0,15137.0,14603.0,534.0,3579.0,199.0
46,random_0,Yarrowia_deformans,17143.0,24424.0,10144.0,4517.0,4502.0,4148.0,76938.0,13677.0,13118.0,559.0,2908.0,154.0
46,random_100,Alloascoidea_hylecoeti,45473.0,76117.0,20916.0,12533.0,9307.0,5973.0,21406.0,36365.0,32011.0,4354.0,4712.0,237.0
46,random_100,Debaryomyces_hansenii,33620.0,56910.0,15748.0,9058.0,6801.0,4453.0,18545.0,27959.0,25940.0,2019.0,3638.0,197.0
46,random_100,Hanseniaspora_vinae,26557.0,44680.0,12554.0,7207.0,5383.0,3496.0,19604.0,21292.0,18907.0,2385.0,2860.0,184.0
46,random_100,Komagataella_pastoris,25362.0,42074.0,12063.0,6821.0,5020.0,3303.0,20848.0,20380.0,18116.0,2264.0,2689.0,157.0
46,random_100,Lipomyces_starkeyi,32006.0,53088.0,15036.0,8529.0,6239.0,4145.0,24998.0,25619.0,22652.0,2967.0,3392.0,196.0
46,random_100,Neurospora_crassa,35236.0,57230.0,16432.0,9303.0,6674.0,4778.0,25333.0,28315.0,24906.0,3409.0,3474.0,185.0
46,random_100,Pachysolen_tannophilus,31389.0,52401.0,14800.0,8431.0,6243.0,4149.0,18186.0,25101.0,22288.0,2813.0,3446.0,182.0
46,random_100,Saccharomycopsis_malanga,34719.0,59890.0,16098.0,9166.0,6850.0,4469.0,20268.0,27793.0,24822.0,2971.0,3920.0,206.0
46,random_100,Sporopachydermia_quercuum,29934.0,49722.0,14131.0,7999.0,5864.0,3976.0,20103.0,23956.0,21270.0,2686.0,3262.0,169.0
46,random_100,Tortispora_caseinolytica,22558.0,37431.0,10734.0,5963.0,4387.0,3030.0,16708.0,18251.0,16221.0,2030.0,2259.0,132.0
46,random_100,Torulaspora_delbrueckii,28072.0,46908.0,13299.0,7687.0,5638.0,3721.0,23406.0,22397.0,19721.0,2676.0,2970.0,171.0
46,random_100,Wickerhamomyces_ciferrii,34954.0,57985.0,16393.0,9514.0,7019.0,4637.0,19736.0,28028.0,24725.0,3303.0,3586.0,203.0
46,random_100,Yarrowia_deformans,31538.0,51646.0,14791.0,8569.0,6234.0,4202.0,28366.0,25353.0,22125.0,3228.0,2916.0,158.0
46,random_25,Alloascoidea_hylecoeti,30504.0,45771.0,16189.0,8393.0,7526.0,5626.0,62307.0,24074.0,22349.0,1725.0,4704.0,233.0
46,random_25,Debaryomyces_hansenii,23002.0,34898.0,12434.0,6261.0,5580.0,4306.0,61306.0,18789.0,18204.0,585.0,3630.0,191.0
46,random_25,Hanseniaspora_vinae,18232.0,27656.0,9923.0,4933.0,4419.0,3381.0,51099.0,14430.0,13493.0,937.0,2855.0,181.0
46,random_25,Komagataella_pastoris,17014.0,25640.0,9391.0,4547.0,4070.0,3251.0,53012.0,13548.0,12765.0,783.0,2682.0,153.0
46,random_25,Lipomyces_starkeyi,21252.0,31826.0,11613.0,5647.0,5033.0,4034.0,53234.0,16799.0,15748.0,1051.0,3392.0,196.0
46,random_25,Neurospora_crassa,23216.0,34074.0,12542.0,6007.0,5283.0,4590.0,61905.0,18489.0,17256.0,1233.0,3473.0,185.0
46,random_25,Pachysolen_tannophilus,21508.0,32215.0,11692.0,5831.0,5122.0,4006.0,47701.0,16965.0,15872.0,1093.0,3444.0,181.0
46,random_25,Saccharomycopsis_malanga,23386.0,35908.0,12576.0,6246.0,5614.0,4258.0,64019.0,18368.0,17263.0,1105.0,3913.0,202.0
46,random_25,Sporopachydermia_quercuum,19972.0,30238.0,10923.0,5276.0,4726.0,3888.0,63361.0,15793.0,14875.0,918.0,3257.0,167.0
46,random_25,Tortispora_caseinolytica,14976.0,22511.0,8322.0,3976.0,3556.0,3010.0,50766.0,11994.0,11278.0,716.0,2256.0,130.0
46,random_25,Torulaspora_delbrueckii,18857.0,28606.0,10350.0,5110.0,4546.0,3638.0,54390.0,14897.0,13902.0,995.0,2961.0,166.0
46,random_25,Wickerhamomyces_ciferrii,23305.0,34777.0,12696.0,6308.0,5652.0,4493.0,62161.0,18498.0,17275.0,1223.0,3582.0,201.0
46,random_25,Yarrowia_deformans,20757.0,30694.0,11350.0,5593.0,4962.0,4137.0,64337.0,16595.0,15354.0,1241.0,2911.0,156.0
46,random_50,Alloascoidea_hylecoeti,35547.0,56045.0,17781.0,9870.0,8193.0,5717.0,47085.0,28227.0,25615.0,2612.0,4704.0,233.0
46,random_50,Debaryomyces_hansenii,26314.0,41750.0,13477.0,7193.0,5986.0,4361.0,51259.0,21615.0,20548.0,1067.0,3634.0,195.0
46,random_50,Hanseniaspora_vinae,21309.0,33604.0,10893.0,5710.0,4752.0,3401.0,37884.0,17007.0,15572.0,1435.0,2855.0,181.0
46,random_50,Komagataella_pastoris,20078.0,31376.0,10390.0,5398.0,4425.0,3253.0,39255.0,16064.0,14734.0,1330.0,2682.0,153.0
46,random_50,Lipomyces_starkeyi,25395.0,39506.0,12932.0,6700.0,5470.0,4060.0,40237.0,20213.0,18445.0,1768.0,3392.0,196.0
46,random_50,Neurospora_crassa,27118.0,41328.0,13819.0,7128.0,5746.0,4630.0,45202.0,21685.0,19748.0,1937.0,3473.0,185.0
46,random_50,Pachysolen_tannophilus,24376.0,38001.0,12603.0,6611.0,5457.0,4026.0,33741.0,19345.0,17765.0,1580.0,3444.0,181.0
46,random_50,Saccharomycopsis_malanga,27255.0,43800.0,13783.0,7212.0,6022.0,4384.0,53244.0,21594.0,19870.0,1724.0,3920.0,206.0
46,random_50,Sporopachydermia_quercuum,23389.0,36732.0,12032.0,6227.0,5126.0,3886.0,42442.0,18599.0,17074.0,1525.0,3257.0,167.0
46,random_50,Tortispora_caseinolytica,17711.0,27729.0,9192.0,4695.0,3851.0,3011.0,42875.0,14252.0,13060.0,1192.0,2256.0,130.0
46,random_50,Torulaspora_delbrueckii,21949.0,34606.0,11359.0,6045.0,4938.0,3682.0,44321.0,17382.0,15801.0,1581.0,2970.0,171.0
46,random_50,Wickerhamomyces_ciferrii,26910.0,41897.0,13864.0,7425.0,6123.0,4524.0,50085.0,21437.0,19551.0,1886.0,3582.0,201.0
46,random_50,Yarrowia_deformans,24316.0,37536.0,12506.0,6656.0,5408.0,4193.0,46718.0,19503.0,17624.0,1879.0,2915.0,158.0
46,random_75,Alloascoidea_hylecoeti,40173.0,65735.0,19213.0,10996.0,8656.0,5831.0,33545.0,32081.0,28725.0,3356.0,4712.0,237.0
46,random_75,Debaryomyces_hansenii,29974.0,49092.0,14624.0,8104.0,6369.0,4378.0,31289.0,24805.0,23278.0,1527.0,3638.0,197.0
46,random_75,Hanseniaspora_vinae,23835.0,39066.0,11674.0,6382.0,5025.0,3459.0,29476.0,19066.0,17178.0,1888.0,2860.0,184.0
46,random_75,Komagataella_pastoris,22604.0,36650.0,11192.0,6097.0,4714.0,3270.0,26979.0,18134.0,16372.0,1762.0,2689.0,157.0
46,random_75,Lipomyces_starkeyi,28504.0,45934.0,13914.0,7568.0,5842.0,4060.0,24157.0,22759.0,20431.0,2328.0,3392.0,196.0
46,random_75,Neurospora_crassa,30798.0,48686.0,15024.0,8203.0,6197.0,4699.0,33511.0,24697.0,22094.0,2603.0,3474.0,185.0
46,random_75,Pachysolen_tannophilus,28286.0,45469.0,13852.0,7626.0,5891.0,4096.0,28117.0,22541.0,20262.0,2279.0,3446.0,182.0
46,random_75,Saccharomycopsis_malanga,30959.0,52042.0,14917.0,8179.0,6428.0,4413.0,36759.0,24699.0,22383.0,2316.0,3920.0,206.0
46,random_75,Sporopachydermia_quercuum,26982.0,43526.0,13195.0,7127.0,5491.0,3974.0,25834.0,21589.0,19462.0,2127.0,3258.0,167.0
46,random_75,Tortispora_caseinolytica,19916.0,32175.0,9897.0,5307.0,4107.0,3009.0,32453.0,16049.0,14456.0,1593.0,2259.0,132.0
46,random_75,Torulaspora_delbrueckii,24790.0,40164.0,12276.0,6839.0,5277.0,3683.0,34079.0,19719.0,17635.0,2084.0,2970.0,171.0
46,random_75,Wickerhamomyces_ciferrii,31509.0,50533.0,15348.0,8660.0,6640.0,4611.0,34605.0,25191.0,22474.0,2717.0,3586.0,203.0
